bias,keyword,againstgroup
2,aggressive,00100
2,visual,00010
2,language,00010
2,quoting,00001
2,effective,00011
2,communication,00011
2,spoken,00010
2,monitor,00011
2,and,00011
2,assist,00011
2,remain,00100
2,stationary,00100
2,sales,00010
2,calls,00010
